code,category,display
A419,Immediate and intermediate causes,"Sepsis, unspecified organism"
A480,Immediate and intermediate causes,Gas gangrene
A483,Immediate and intermediate causes,Toxic shock syndrome
C77,Immediate and intermediate causes,Secondary and unspecified malignant neoplasm of lymph nodes
C78,Immediate and intermediate causes,Secondary malignant neoplasm of respiratory and digestive organs
C79,Immediate and intermediate causes,Secondary malignant neoplasm of other and unspecified sites
D500,Immediate and intermediate causes,Iron deficiency anemia secondary to blood loss (chronic)
D62,Immediate and intermediate causes,Acute posthemorrhagic anemia
D641,Immediate and intermediate causes,Secondary sideroblastic anemia due to disease
D649,Immediate and intermediate causes,"Anemia, unspecified"
D65,Immediate and intermediate causes,Disseminated intravascular coagulation [defibrination syndrome]
D695,Immediate and intermediate causes,Secondary thrombocytopenia
D699,Immediate and intermediate causes,"Hemorrhagic condition, unspecified"
D751,Immediate and intermediate causes,Secondary polycythemia
E033,Immediate and intermediate causes,Postinfectious hypothyroidism
E161,Immediate and intermediate causes,Other hypoglycemia
E162,Immediate and intermediate causes,"Hypoglycemia, unspecified"
E211,Immediate and intermediate causes,"Secondary hyperparathyroidism, not elsewhere classified"
E261,Immediate and intermediate causes,Secondary hyperaldosteronism
E731,Immediate and intermediate causes,Secondary lactase deficiency
E853,Immediate and intermediate causes,Secondary systemic amyloidosis
E86,Immediate and intermediate causes,Volume depletion
E87,Immediate and intermediate causes,"Other disorders of fluid, electrolyte and acid-base balance"
F071,Immediate and intermediate causes,Postencephalitic syndrome
F072,Immediate and intermediate causes,Postconcussional syndrome
G911,Immediate and intermediate causes,Obstructive hydrocephalus
G913,Immediate and intermediate causes,"Post-traumatic hydrocephalus, unspecified"
G918,Immediate and intermediate causes,Other hydrocephalus
G919,Immediate and intermediate causes,"Hydrocephalus, unspecified"
G92,Immediate and intermediate causes,Toxic encephalopathy
G931,Immediate and intermediate causes,"Anoxic brain damage, not elsewhere classified"
G933,Immediate and intermediate causes,Postviral and related fatigue syndromes
G934,Immediate and intermediate causes,Other and unspecified encephalopathy
